Depth,2015-04-07,2015-04-14,2015-04-29,2015-05-08,2015-05-14,2015-05-22,2015-05-29,2015-06-12
0,20.4,24.9,25.3,25.3,26.6,21.8,21.8,26.1
1,22.7,25.7,25.8,25.8,26.6,22.9,22.9,26.4
2,23.4,25.8,25.9,25.9,26.6,25,25,26.4
3,23.9,25.9,26.2,26.2,26.6,25.2,25.2,26.4
4,24.5,26.1,26.3,26.3,26.6,25.5,25.5,26.6
5,24.8,26.1,26.3,26.3,26.6,25.5,25.5,26.8
6,24.9,26.2,26.3,26.3,26.6,25.6,25.6,26.8
7,25.1,26.3,26.4,26.4,26.6,25.6,25.6,26.8
8,25.2,26.4,26.4,26.4,26.6,25.6,25.6,26.8
9,25.3,26.4,26.4,26.4,26.6,25.6,25.6,26.8
10,25.2,26.4,26.4,26.4,26.6,25.6,25.6,26.8
,,,,,,,,
