Depth,2015-04-07,2015-04-14,2015-04-29,2015-05-08,2015-05-14,2015-05-22,2015-05-29,2015-06-12
0,8.51,8.05,7.92,8.74,6.68,8.82,8.82,6.72
1,8.3,7.8,7.86,8.53,6.67,8.24,8.24,6.61
2,7.72,7.96,7.8,8.46,6.64,8.24,8.24,6.59
3,7.69,8.09,7.82,8.45,6.65,8.57,8.57,6.55
4,7.2,8.31,7.8,8.51,6.69,8.76,8.76,6.48
5,7.16,8.25,7.8,8.49,6.66,8.88,8.88,6.37
6,6.84,8.26,7.8,8.48,6.62,8.93,8.93,6.35
7,7.01,8.3,7.8,8.51,6.63,8.86,8.86,6.32
8,7.17,8.29,7.8,7.93,6.63,8.59,8.59,6.29
9,7.26,8.16,7.8,7.48,6.63,8.45,8.45,6.29
10,7.24,8.18,7.8,6.67,6.63,8.49,8.49,6.3
