Depth,2015-04-07,2015-04-14,2015-04-29,2015-05-08,2015-05-14,2015-05-22,2015-05-29,2015-06-12
0,9.7,9.6,9.9,11.6,10.3,12.6,12.6,11
1,9.6,9.6,9.9,11.5,10.3,12.7,12.7,11
2,9.6,9.5,9.8,11.5,10.3,12.5,12.5,10.9
3,9.6,9.5,9.8,11.5,10.3,12.8,12.8,10.9
4,9.5,9.5,9.8,11.5,10.2,13,13,10.8
5,9.5,9.5,9.8,11.4,10.2,13,13,10.7
6,9.5,9.5,9.8,11.5,10.2,13,13,10.7
7,9.5,9.5,9.8,11.5,10.2,12.9,12.9,10.7
8,9.5,9.5,9.8,10.7,10.2,12.9,12.9,10.7
9,9.5,9.5,9.8,10.6,10.2,12.8,12.8,10.7
10,9.5,9.5,9.8,10.3,10.2,12.7,12.7,10.7
